id,name,english_name,description,algorithm_code
1,双顶,double_top,双顶是一种看跌反转形态，当价格形成两个相近的高点后，通常会向下突破,
2,头肩顶,head_shoulders_top,头肩顶是最可靠的看跌反转形态，由左肩、头部、右肩三个高点组成,
3,三重顶,triple_top,三重顶由三个相近的高点组成，是强烈的看跌信号,
4,圆弧顶,rounding_top,价格缓慢形成圆弧状的顶部，表示上升趋势即将结束,
5,岛形反转顶,island_reversal_top,价格在高位形成跳空缺口后再次跳空下跌的形态,
6,双底,double_bottom,双底是一种看涨反转形态，当价格形成两个相近的低点后，通常会向上突破,
7,头肩底,head_shoulders_bottom,头肩底是最可靠的看涨反转形态，由左肩、头部、右肩三个低点组成,
8,三重底,triple_bottom,三重底由三个相近的低点组成，是强烈的看涨信号,
9,圆弧底,rounding_bottom,价格缓慢形成圆弧状的底部，表示下降趋势即将结束,
10,岛形反转底,island_reversal_bottom,价格在低位形成跳空缺口后再次跳空上涨的形态,
11,潜在双底,potential_double_bottom,正在形成中的双底形态，需要确认突破,
12,上升三角形,ascending_triangle,价格高点连线水平，低点连线上升，通常向上突破,
13,下降三角形,descending_triangle,价格低点连线水平，高点连线下降，通常向下突破,
14,对称三角形,symmetrical_triangle,价格高点下降，低点上升，形成楔形，突破方向不确定,
15,扩散三角形,expanding_triangle,价格波动幅度逐渐扩大，市场不确定性增加,
16,矩形整理,rectangle,价格在水平的支撑阻力区间内震荡整理,
17,楔形上升,rising_wedge,价格上涨但成交量递减，通常是看跌信号,
18,楔形下降,falling_wedge,价格下跌但成交量递减，通常是看涨信号,
19,旗形,flag,短期内价格小幅震荡的整理形态,
20,三角旗形,pennant,类似三角形的短期整理形态,
21,锤头线,hammer,实体小，下影线长，出现在下跌趋势中是看涨信号,"# 至少需要4根K线来判断短期趋势
if i < 3:
    continue

# 趋势判断：要求前面3根K线至少有2根是收盘价下跌的
trend_check = (kdata['close'][i-3] > kdata['close'][i-2]) + \
              (kdata['close'][i-2] > kdata['close'][i-1])
if trend_check < 2:
    continue

k = kdata.iloc[i]
body_size = abs(k['close'] - k['open'])
upper_shadow = k['high'] - max(k['open'], k['close'])
lower_shadow = min(k['open'], k['close']) - k['low']
total_range = k['high'] - k['low']

if total_range == 0:
    continue

body_ratio = body_size / total_range
upper_ratio = upper_shadow / total_range
lower_ratio = lower_shadow / total_range

if (body_ratio < 0.3 and upper_ratio < 0.1 and lower_ratio > 0.6):
    confidence = min(0.9, lower_ratio * 0.8 + (0.3 - body_ratio) * 0.5 + (0.1 - upper_ratio) * 0.3)
    datetime_val = str(k['datetime']) if 'datetime' in k.index else str(k.name)
    result = create_result(
        pattern_type='hammer', signal_type=SignalType.BUY, confidence=confidence,
        index=i, price=k['close'], datetime_val=datetime_val,
        extra_data={'body_ratio': body_ratio, 'upper_ratio': upper_ratio, 'lower_ratio': lower_ratio}
    )"
22,上吊线,hanging_man,实体小，下影线长，出现在上涨趋势中是看跌信号,
23,倒锤头,inverted_hammer,实体小，上影线长，出现在下跌趋势中是看涨信号,"if i < 3:
    continue

trend_check = (kdata['close'][i-3] > kdata['close'][i-2]) + \
              (kdata['close'][i-2] > kdata['close'][i-1])
if trend_check < 2:
    continue

k = kdata.iloc[i]
body_size = abs(k['close'] - k['open'])
upper_shadow = k['high'] - max(k['open'], k['close'])
lower_shadow = min(k['open'], k['close']) - k['low']
total_range = k['high'] - k['low']

if total_range == 0:
    continue

body_ratio = body_size / total_range
upper_ratio = upper_shadow / total_range
lower_ratio = lower_shadow / total_range

if (body_ratio < 0.3 and upper_ratio > 0.6 and lower_ratio < 0.1):
    confidence = min(0.9, upper_ratio * 0.8 + (0.3 - body_ratio) * 0.5)
    datetime_val = str(k['datetime']) if 'datetime' in k.index else str(k.name)
    result = create_result(
        pattern_type='inverted_hammer', signal_type=SignalType.BUY, confidence=confidence,
        index=i, price=k['close'], datetime_val=datetime_val,
        extra_data={'body_ratio': body_ratio, 'upper_ratio': upper_ratio, 'lower_ratio': lower_ratio}
    )"
24,流星线,shooting_star,实体小，上影线长，出现在上涨趋势中是看跌信号,"if i < 3:
    continue

trend_check = (kdata['close'][i-3] < kdata['close'][i-2]) + \
              (kdata['close'][i-2] < kdata['close'][i-1])
if trend_check < 2:
    continue

k = kdata.iloc[i]
body_size = abs(k['close'] - k['open'])
upper_shadow = k['high'] - max(k['open'], k['close'])
lower_shadow = min(k['open'], k['close']) - k['low']
total_range = k['high'] - k['low']

if total_range == 0:
    continue

body_ratio = body_size / total_range
upper_ratio = upper_shadow / total_range
lower_ratio = lower_shadow / total_range

if (body_ratio < 0.3 and upper_ratio > 0.6 and lower_ratio < 0.1):
    confidence = min(0.9, upper_ratio * 0.8 + (0.3 - body_ratio) * 0.5 + (0.1 - lower_ratio) * 0.3)
    datetime_val = str(k['datetime']) if 'datetime' in k.index else str(k.name)
    result = create_result(
        pattern_type='shooting_star', signal_type=SignalType.SELL, confidence=confidence,
        index=i, price=k['close'], datetime_val=datetime_val,
        extra_data={'body_ratio': body_ratio, 'upper_ratio': upper_ratio, 'lower_ratio': lower_ratio}
    )
    results.append(result)"
